Date,Open,High,Low,Close,Volume,AdjustedClose
20220511,935.000,940.000,920.000,920.000,13853400,920.000
20220512,920.000,930.000,900.000,900.000,21435600,900.000
20220513,900.000,925.000,900.000,925.000,8891900,925.000
20220517,925.000,930.000,920.000,925.000,8760000,925.000
20220518,930.000,940.000,920.000,930.000,12500800,930.000
20220519,925.000,965.000,920.000,965.000,29826100,965.000
20220520,965.000,970.000,950.000,960.000,36285700,960.000
20220523,960.000,970.000,945.000,960.000,14685700,960.000
20220524,960.000,965.000,940.000,945.000,16322900,945.000
20220525,945.000,960.000,945.000,960.000,7942500,960.000
20220527,960.000,970.000,950.000,965.000,35631600,965.000
20220530,970.000,970.000,965.000,965.000,21273400,965.000
20220531,965.000,1020.000,965.000,1020.000,38166300,1020.000
20220602,1020.000,1020.000,975.000,1000.000,25951700,1000.000
20220603,1000.000,1010.000,985.000,985.000,10811000,985.000
20220606,990.000,995.000,980.000,990.000,22751900,990.000
20220607,990.000,995.000,980.000,985.000,18315600,985.000
20220608,985.000,995.000,975.000,985.000,11569500,985.000
20220609,985.000,985.000,975.000,975.000,14127000,975.000
20220610,975.000,980.000,965.000,975.000,10583900,975.000
20220613,990.000,990.000,945.000,960.000,11302800,960.000
20220614,960.000,960.000,945.000,945.000,9965200,945.000
20220615,950.000,955.000,935.000,950.000,14085600,950.000
20220616,950.000,970.000,945.000,950.000,17240100,950.000
20220617,960.000,960.000,945.000,960.000,6103900,960.000
20220620,965.000,970.000,945.000,965.000,7590600,965.000
20220621,965.000,970.000,945.000,955.000,34435800,955.000
20220622,960.000,975.000,955.000,975.000,17243500,975.000
20220623,975.000,985.000,970.000,985.000,24216400,985.000
20220624,985.000,1000.000,980.000,990.000,40698400,990.000
20220627,990.000,1005.000,980.000,985.000,25762900,985.000
20220628,990.000,995.000,985.000,995.000,26245400,995.000
20220629,1000.000,1010.000,980.000,995.000,31717100,995.000
20220630,1000.000,1000.000,985.000,1000.000,17508800,1000.000
20220701,1000.000,1000.000,975.000,990.000,18337300,990.000
20220704,990.000,990.000,955.000,985.000,10779600,985.000
20220705,985.000,990.000,975.000,975.000,12257200,975.000
20220706,975.000,990.000,975.000,980.000,11906500,980.000
20220707,980.000,990.000,975.000,985.000,12124700,985.000
20220708,985.000,985.000,970.000,970.000,15321400,970.000
20220711,970.000,990.000,970.000,980.000,7225800,980.000
20220712,985.000,985.000,965.000,980.000,6288100,980.000
20220713,980.000,980.000,950.000,955.000,23296800,955.000
20220714,965.000,975.000,950.000,970.000,21523100,970.000
20220715,970.000,975.000,960.000,965.000,11758100,965.000
20220718,965.000,970.000,950.000,960.000,13123400,960.000
20220719,960.000,960.000,955.000,960.000,15418100,960.000
20220720,965.000,990.000,960.000,970.000,52164300,970.000
20220721,970.000,990.000,965.000,985.000,38034900,985.000
20220722,985.000,990.000,970.000,975.000,12551200,975.000
20220725,975.000,985.000,970.000,980.000,8202100,980.000
20220726,980.000,985.000,970.000,970.000,13181800,970.000
20220727,990.000,990.000,970.000,975.000,6607700,975.000
20220728,990.000,990.000,970.000,970.000,7380100,970.000
20220729,965.000,975.000,905.000,905.000,120064200,905.000
20220801,905.000,905.000,845.000,845.000,48485200,845.000
20220802,820.000,835.000,790.000,790.000,63233700,790.000
20220803,770.000,820.000,740.000,765.000,375365700,765.000
20220804,775.000,795.000,765.000,770.000,186712600,770.000
20220805,780.000,780.000,755.000,760.000,122651900,760.000
20220808,775.000,775.000,730.000,750.000,71565600,750.000
20220809,750.000,780.000,750.000,775.000,78580000,775.000
20220810,780.000,780.000,770.000,770.000,42157800,770.000
20220811,775.000,780.000,765.000,765.000,64313500,765.000
20220812,765.000,775.000,765.000,770.000,36069700,770.000
20220815,785.000,785.000,770.000,775.000,34490800,775.000
20220816,775.000,780.000,770.000,770.000,29553700,770.000
20220818,775.000,780.000,765.000,775.000,37383400,775.000
20220819,770.000,780.000,770.000,770.000,38076600,770.000
20220822,770.000,775.000,750.000,750.000,71463900,750.000
20220823,780.000,780.000,745.000,750.000,68891300,750.000
20220824,750.000,755.000,750.000,750.000,27219800,750.000
20220825,755.000,755.000,735.000,735.000,66742700,735.000
20220826,735.000,740.000,715.000,715.000,102408600,715.000
20220829,715.000,720.000,705.000,705.000,45251900,705.000
20220830,705.000,735.000,705.000,720.000,36311800,720.000
20220831,720.000,725.000,710.000,710.000,46691800,710.000
20220901,710.000,715.000,705.000,705.000,30755700,705.000
20220902,710.000,720.000,705.000,715.000,28109500,715.000
20220905,720.000,720.000,705.000,715.000,22452800,715.000
20220906,715.000,720.000,710.000,715.000,26764700,715.000
20220907,715.000,725.000,710.000,715.000,35735100,715.000
20220908,715.000,720.000,710.000,720.000,37805200,720.000
20220909,720.000,725.000,700.000,705.000,47289600,705.000
20220912,700.000,715.000,700.000,710.000,20510500,710.000
20220913,710.000,720.000,710.000,715.000,29213600,715.000
20220914,715.000,715.000,705.000,710.000,35986200,710.000
20220915,715.000,715.000,705.000,710.000,31969700,710.000
20220916,710.000,725.000,710.000,710.000,252174900,710.000
20220919,720.000,745.000,710.000,745.000,67078600,745.000
20220920,745.000,760.000,720.000,720.000,94229600,720.000
20220921,725.000,735.000,715.000,730.000,20632800,730.000
20220922,730.000,735.000,720.000,720.000,24906400,720.000
20220923,725.000,725.000,715.000,720.000,21674400,720.000
20220926,720.000,725.000,710.000,720.000,18423400,720.000
20220927,720.000,720.000,710.000,715.000,12252800,715.000
20220928,715.000,720.000,710.000,710.000,9788600,710.000
20220929,715.000,715.000,710.000,715.000,16856300,715.000
20220930,715.000,715.000,700.000,710.000,25830200,710.000
20221003,710.000,710.000,705.000,705.000,7992800,705.000
20221004,710.000,710.000,700.000,705.000,21584700,705.000
20221005,705.000,710.000,700.000,700.000,23348900,700.000
20221006,705.000,710.000,700.000,705.000,12986900,705.000
20221007,720.000,720.000,705.000,715.000,17042700,715.000
20221010,715.000,715.000,700.000,705.000,19845400,705.000
